"","label","latitude","longitude"
"887","ATBWN",48.07,13.9
"888","ATBXG",47.42,11.87
"889","ATBXT",47.45,12.25
"890","ATCH8",47.42,15
"891","ATD2L",48.27,13.4
"892","ATD4S",48.52,13.88
"893","ATDAM",47.28,9.88
"894","ATDBL",46.95,15.37
"895","ATDDT",46.73,13.07
"896","ATDER",48.43,15.68
"897","ATDEU",46.82,15.22
"898","ATDFC",48.35,14.45
"899","ATDFF",48.27,13.62
"900","ATDFL",47,15.47
"901","ATDIA",48.08,14.42
"902","ATDKZ",47.6,16.63
"903","ATDOF",48.45,15.72
"904","ATDOR",47.42,9.72
"905","ATDRA",48.75,-16.65
"906","ATDRF",48.28,13.62
"907","ATDRO",48.45,15.57
"908","ATDSH",47.2,9.78
"909","ATDSU",48.02,13.77
"910","ATDSZ",47.17,16.45
"911","ATDTD",48.08,14.42
"912","ATDUE",48.38,15.52
"913","ATDUR",48.47,16.85
"914","ATDWA",48.3,16.57
"915","ATEAJ",48.37,15.37
"916","ATEAK",48.43,15.73
"917","ATEBB",47.63,12.22
"918","ATEBD",47.2,15.95
"919","ATEBE",48.03,16.52
"920","ATEBN",47.63,16.08
"921","ATEBR",47.95,16.4
"922","ATEBS",47.8,13.77
"923","ATEBU",46.63,15.82
"924","ATEBZ",48.03,13.97
"925","ATECU",47.48,10.7
"926","ATEDZ",48.12,15.5
"927","ATEFH",47.87,16.37
"928","ATEFR",48.32,14.02
"929","ATEGB",48.07,12.98
"930","ATEGG",47.42,9.88
"931","ATEGL",47.33,13.33
"932","ATEGT",48.12,14.13
"933","ATEH7",47.4,10.92
"934","ATEHN",48.13,14.48
"935","ATEHR",46.72,15.57
"936","ATEIN",48.07,16.78
"937","ATEIT",47.83,16.53
"938","ATEKV",46.48,14.58
"939","ATELI",47.87,13.07
"940","ATELL",48.1,16.98
"941","ATEMM",48.23,15.33
"942","ATENO",48.2,14.47
"943","ATENZ",48.08,16.6
"944","ATEPD",48.33,15.9
"945","ATERF",46.58,14.63
"946","ATERG",47.5,12.03
"947","ATERL",47.67,12.17
"948","ATERM",47.47,15
"949","ATERO",48.45,15.88
"950","ATERP",47.57,12.47
"951","ATERR",48.6,16.82
"952","ATESB",48.55,13.57
"953","ATESG",47.8,13.18
"954","ATESN",47.13,14.73
"955","ATESW",48.15,13.57
"956","ATETE",48.37,16.38
"957","ATETH",48.58,16.23
"958","ATETL",48.43,16.78
"959","ATETN",46.8,14.55
"960","ATETZ",47.28,11.05
"961","ATEUG",47.87,13.12
"962","ATEWD",46.68,15.83
"963","ATEZF",47.92,16.18
"964","ATFAA",48.38,15.92
"965","ATFAS",47.8,13.3
"966","ATFAU",47.37,13.53
"967","ATFBB",47.48,12.55
"968","ATFBG",48.07,13.48
"969","ATFBN",48.43,15.78
"970","ATFBZ",46.92,15.25
"971","ATFDG",48.02,13.23
"972","ATFDU",46.7,13.67
"973","ATFED",46.95,15.88
"974","ATFEK",48.35,14.05
"975","ATFEO",46.73,13.62
"976","ATFG7",48.67,-162.5
"977","ATFGN",47.35,11.85
"978","ATFHK",47.12,14.47
"979","ATFHR",46.93,16
"980","ATFIS",48.12,16.6
"981","ATFIT",46.52,14.17
"982","ATFKC",47.02,15.45
"983","ATFKI",46.72,14.08
"984","ATFKN",47.83,16.93
"985","ATFKT",47.23,9.6
"986","ATFLA",47.33,13.4
"987","ATFLO",48.25,16.4
"988","ATFNA",48.18,16.43
"989","ATFNZ",48.55,15.68
"990","ATFOH",47.2,14.68
"991","ATFOR",48.03,13.43
"992","ATFPS",47.15,11.35
"993","ATFRA",48.55,14.97
"994","ATFRB",48.57,13.52
"995","ATFRE",46.75,15.43
"996","ATFRH",46.95,14.42
"997","ATFRI",47.3,11.58
"998","ATFSA",47.48,9.65
"999","ATFSB",47.43,15.65
"1000","ATFSC",47.17,14.73
"1001","ATFSD",48.5,14.5
"1002","ATFSU",47.77,13.22
"1003","ATFTL",46.83,15.27
"1004","ATFUF",47.05,16.08
"1005","ATFUR",46.55,13.82
"1006","ATFWG",48.45,15.82
"1007","ATFXO",47.88,16.25
"1008","ATGA6",46.72,15.55
"1009","ATGAA",48.05,16.18
"1010","ATGAB",48.22,16.15
"1011","ATGAE",48.2,15.18
"1012","ATGAK",48.58,15.65
"1013","ATGAL",46.97,10.18
"1014","ATGAS",48.88,15.22
"1015","ATGBD",46.77,15.58
"1016","ATGBF",48.37,16.47
"1017","ATGBG",47.43,13.9
"1018","ATGC5",46.75,14.65
"1019","ATGDF",48.28,16.45
"1020","ATGDN",47.92,13.8
"1021","ATGEI",48.13,13.73
"1022","ATGER",47.07,16.25
"1023","ATGET",48.33,15.68
"1024","ATGF2",47.22,9.72
"1025","ATGFS",48.33,16.23
"1026","ATGFT",48.12,14.85
"1027","ATGFW",48.4,15.78
"1028","ATGFZ",47.88,14.72
"1029","ATGGM",48.27,16.9
"1030","ATGGS",47.6,13.17
"1031","ATGGU",47.83,16.67
"1032","ATGGZ",47.67,15.93
"1033","ATGHF",47.83,16.48
"1034","ATGHH",48.7,16.07
"1035","ATGHJ",48.37,-154
"1036","ATGHR",47.48,14.55
"1037","ATGIE",48.23,13.82
"1038","ATGKN",47.13,15.33
"1039","ATGLA",46.72,14.18
"1040","ATGLD",48.25,16.63
"1041","ATGLG",47.18,14.8
"1042","ATGLI",48.07,14.53
"1043","ATGLO",47.95,16.25
"1044","ATGLZ",46.77,13.65
"1045","ATGMA",48.03,16.72
"1046","ATGMB",47.03,11.47
"1047","ATGMI",47.93,15.1
"1048","ATGMK",46.9,13.53
"1049","ATGMM",46.65,13.78
"1050","ATGMU",48.77,14.98
"1051","ATGNA",46.87,15.82
"1052","ATGND",48.42,15.75
"1053","ATGNF",48.35,16.73
"1054","ATGNR",48.27,13.25
"1055","ATGNS",46.77,13.97
"1056","ATGNZ",48.22,15.15
"1057","ATGOE",47.32,9.62
"1058","ATGOF",46.98,15.48
"1059","ATGOL",47.9,16.9
"1060","ATGOT",47.43,16.15
"1061","ATGOW",48.33,14.1
"1062","ATGPF",47.23,16.32
"1063","ATGPK",48.03,16.27
"1064","ATGPN",47.98,13.55
"1065","ATGRA",46.6,14.45
"1066","ATGRF",46.73,15.78
"1067","ATGRG",47.73,13.03
"1068","ATGRI",46.7,14.73
"1069","ATGRL",48.02,16.48
"1070","ATGRM",47.88,14.55
"1071","ATGRN",48.22,14.83
"1072","ATGRO",48.2,16.53
"1073","ATGRR",46.73,15.43
"1074","ATGRS",48.78,15.67
"1075","ATGRT",48.38,14.22
"1076","ATGRU",46.82,15.32
"1077","ATGRZ",47.07,15.45
"1078","ATGS2",47.22,9.62
"1079","ATGSB",48.05,16.73
"1080","ATGSF",48.13,13.73
"1081","ATGSG",48.47,15.82
"1082","ATGSH",48.78,15.4
"1083","ATGSN",47.87,15.88
"1084","ATGSS",47.07,16.33
"1085","ATGST",46.75,15.37
"1086","ATGSU",48.65,14.93
"1087","ATGTD",48.02,16.98
"1088","ATGTL",48.48,155.33
"1089","ATGTN",47.98,15.02
"1090","ATGTR",48.08,12.93
"1091","ATGTW",47.12,15.32
"1092","ATGUK",48.13,13.93
"1093","ATGUN",48.03,16.3
"1094","ATGUT",48.25,13.33
"1095","ATGWD",48.45,15.98
"1096","ATGWF",48.47,15.98
"1097","ATGZR",48.58,14.95
"1098","ATGZS",47.22,11.25
"1099","ATH3H",47.93,15.98
"1100","ATHAB",48.4,13.92
"1101","ATHAC",48.98,15.05
"1102","ATHAE",48.18,16.78
"1103","ATHAG",48.12,14.57
"1104","ATHAH",48.18,13.63
"1105","ATHAL",47.6,14.45
"1106","ATHAR",48.4,16.3
"1107","ATHBG",48.13,13.02
"1108","ATHBH",48.35,15.65
"1109","ATHBL",48.08,16.23
"1110","ATHBR",47.9,15.62
"1111","ATHBZ",47.55,9.75
"1112","ATHCH",48.42,14.67
"1113","ATHDR",47.07,15.73
"1114","ATHDT",48.22,13.73
"1115","ATHEC",48.85,15.1
"1116","ATHED",48.43,14.12
